method,overlap,P@5,R@5,AP,MRR,nDCG
Boolean Search,2,0.4,0.4,0.2333333333333333,0.5,0.43635569497248033
Boolean Search,1,0.2,0.2,0.2,1.0,0.32863870183525623
Boolean Search,2,0.4,0.4,0.16666666666666666,0.3333333333333333,0.10498976075278303
Boolean Search,2,0.4,0.4,0.4,1.0,0.7571577678387108
Boolean Search,2,0.4,0.4,0.3333333333333333,1.0,0.405321065596816
Boolean Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,1,0.2,0.2,0.1,0.5,0.42851906600345463
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,2,0.4,0.4,0.2333333333333333,0.5,0.10771699313722409
Boolean Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.01095462339450854
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,0,0.0,0.0,0.0,0.0,0.0
Boolean Search,2,0.4,0.4,0.4,1.0,0.27307567553001316
Boolean Search,1,0.2,0.25,0.125,0.5,0.4433346306586146
Boolean Search,2,1.0,0.4,0.4,1.0,0.4504283127924717
BM25 Search,3,0.6,0.6,0.6,1.0,0.7462031444442023
BM25 Search,1,0.2,0.2,0.2,1.0,0.32863870183525623
BM25 Search,3,0.6,0.6,0.35333333333333333,0.5,0.1266276044188778
BM25 Search,2,0.4,0.4,0.4,1.0,0.7571577678387108
BM25 Search,2,0.4,0.4,0.27999999999999997,1.0,0.7046136113337064
BM25 Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,2,0.4,0.4,0.2333333333333333,0.5,0.24021180534648753
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,3,0.6,0.6,0.4533333333333333,1.0,0.3613368729170713
BM25 Search,2,0.4,0.4,0.27999999999999997,1.0,0.7046136113337064
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,2,0.4,0.4,0.14666666666666667,0.3333333333333333,0.036381584268685416
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,0,0.0,0.0,0.0,0.0,0.0
BM25 Search,1,0.2,0.2,0.2,1.0,0.06572774036705124
BM25 Search,1,0.2,0.25,0.25,1.0,0.14053375297299356
BM25 Search,2,0.4,0.4,0.4,1.0,0.4504283127924717
Semantic Search,2,0.4,0.4,0.3333333333333333,1.0,0.405321065596816
Semantic Search,2,0.4,0.4,0.4,1.0,0.342461897512787
Semantic Search,1,0.2,0.2,0.05,0.25,0.009435798997074415
Semantic Search,1,0.2,0.2,0.05,0.25,0.14153698495611622
Semantic Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Semantic Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Semantic Search,0,0.0,0.0,0.0,0.0,0.0
Semantic Search,3,0.6,0.6,0.4833333333333333,1.0,0.41475686459389044
Semantic Search,0,0.0,0.0,0.0,0.0,0.0
Semantic Search,2,0.4,0.4,0.27999999999999997,1.0,0.806321454830414
Semantic Search,1,0.2,0.2,0.05,0.25,0.06605059297952091
Semantic Search,2,0.4,0.4,0.4,1.0,0.16718792320065037
Semantic Search,0,0.0,0.0,0.0,0.0,0.0
Semantic Search,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.07668236376155978
Semantic Search,0,0.0,0.0,0.0,0.0,0.0
Semantic Search,0,0.0,0.0,0.0,0.0,0.0
Semantic Search,2,0.4,0.4,0.3333333333333333,1.0,0.6682320270650209
Semantic Search,2,0.4,0.4,0.14666666666666667,0.3333333333333333,0.04133952380825125
Semantic Search,3,0.6,0.75,0.6875,1.0,0.4367538807432231
Semantic Search,3,0.6,0.6,0.6,1.0,0.8974892090169999
FAISS Semantic Search,2,0.4,0.4,0.27999999999999997,1.0,0.38796827720833565
FAISS Semantic Search,2,0.4,0.4,0.4,1.0,0.342461897512787
FAISS Semantic Search,1,0.2,0.2,0.04,0.2,0.008475653624725625
FAISS Semantic Search,2,0.4,0.4,0.18,0.5,0.23277489603713877
FAISS Semantic Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
FAISS Semantic Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
FAISS Semantic Search,1,0.2,0.2,0.04,0.2,0.025426960874176875
FAISS Semantic Search,3,0.6,0.6,0.52,1.0,0.4338767252026974
FAISS Semantic Search,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search,2,0.4,0.4,0.27999999999999997,1.0,0.806321454830414
FAISS Semantic Search,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search,2,0.4,0.4,0.3333333333333333,1.0,0.09859161055057686
FAISS Semantic Search,1,0.2,0.2,0.04,0.2,0.025426960874176875
